##				Prevalence of smoking		Incidence of tuberculosis	Prevalence of diabetes	Prevalence of HIV					Antiretroviral therapy coverage	Cause of death		
Country	CountryCode	Region	OECD	MaleSmokingPrevPercAdult	FemaleSmokingPrevPercAdult	TuberculosisPer100K	DiabetesPrevPercPop	TotalHIVPrevPercPop1549		WomenHIVPrevPerc15Over	MaleYouthHIVPercPop	FemaleYouthHIVPercPop	AVTherapyCovPerc	CoDCommunicableDiseases	CoDNonCommunicableDiseases	CoDInjuries
##				% of adults	% of adults	"per 100,000 people"	% of population ages 20 to 79	% of population ages 15-49		% Women's share of population ages 15+ living with HIV	% of population ages 15-24	% of population ages 15-24	% of people with advanced HIV infection	% of population	% of population	% of population
Swaziland	SWZ	Africa:South		16	2	1349	4.6	0.8	26.5	59	10.3	20	82	63	28	9
Sweden	SWE	Europe:North	Y	25	24	7	4.7			30				5	90	5
Switzerland	CHE	Europe:West	Y	31	22	6	5.9			30				4	91	6
Syrian Arab Republic	SYR	MiddleEast				18	8.9							6	46	48
Tajikistan	TJK	Asia:Center				193	6.5	0.1	0.3	36	0.1	0.1	28	30	62	8
Tanzania	TZA	Africa:East				165	9	5	5.1	59	1.8	3.6	61	58	31	12
Thailand	THA	Asia:SE		46	3	119	5.7	0.8	1.1	45	0.3	0.3	76	18	71	11
Timor-Leste	TMP	Asia:SE				498	7							47	44	9
Togo	TGO	Africa:West		14	2	73	4.8	0.8	2.9	59	0.5	0.9	46	62	30	8
Tonga	TON	Polynesia		43	12	14	14.1									
Trinidad and Tobago	TTO	Caribbean				24	13	0.4	1.6	52	0.6	0.9		9	80	11
Tunisia	TUN	Africa:North		52	11	31	9.4	0.1	0.1	32	0.1	0.1	55	11	82	7
Turkey	TUR	MiddleEast	Y	42	13	22	14.9			30				7	86	7
Turkmenistan	TKM	Asia:Center				75	5							13	76	11
Turks and Caicos Islands	TCA	Caribbean				28										
Tuvalu	TUV	Polynesia				241	14.5									
Uganda	UGA	Africa:East		16	3	179	4.8	12.3	7.2	57	2.3	4	64	60	27	13
Ukraine	UKR	Europe:East		49	14	93	2.5	0.1	0.9	42	0.4	0.5	41	5	90	5
United Arab Emirates	ARE	MiddleEast				2	19							12	65	23
United Kingdom	GBR	Europe:West	Y	22	22	15	4.9			31				7	89	4
United States	USA	America:North	Y			4	9.2			20				6	88	6
Uruguay	URY	America:South		29	21	27	5.6	0.1	0.7	21	0.5	0.2	65	8	85	7
Uzbekistan	UZB	Asia:Center		22	3	78	6.4	0.1	0.1	26	0.1	0.1	43	14	79	7
Vanuatu	VUT	Melanesia		43	8	65	24									
"Venezuela, RB"	VEN	America:South				33	7	0.4	0.6	37	0.3	0.3	71	11	67	22
Vietnam	VNM	Asia:SE		46	2	147	5.8	0.1	0.4	28	0.2	0.1	58	17	73	11
Virgin Islands (U.S.)	VIR	Caribbean				8	12.1									
West Bank and Gaza	WBG	MiddleEast		39	3	8	9.1									
"Yemen, Rep."	YEM	MiddleEast		35	11	49	8.5	0.1	0.1	43	0.1	0.1	14	50	39	11
Zambia	ZMB	Africa:East		24	4	427	3.8	10.4	12.7	52	3.5	4.6	79	67	23	11
Zimbabwe	ZWE	Africa:East		25	1	562	9.7	10.7	14.7	59	3.9	6.3	79	62	31	8
